id,authors,title,isbn,identifiers,series,series_index,uuid
"536","Mors Kochanski","Bushcraft","","","","1.0","e21147fb-5841-4034-9985-78a5391dcf8e"
"538","Eliezer Yudkowsky","Harry Potter and the Methods of Rationality","","mobi-asin:d28fa789-bae9-43ac-8b22-fde0d2c0ef93","","1.0","8f998220-a943-457a-a028-731d6eee9575"
"539","Richard; Nicholas Crane","Journey to the Centre of the Earth","","","","1.0","576c5903-cc4b-4f8a-b94c-62e73a285427"
"540","Charles Stross","The Nightmare Stacks","9780356505350","mobi-asin:B019CSNQ24,isbn:9780356505350","Laundry Files","7.0","a5dc7465-d96e-430f-9557-3b363b1b27c4"
"541","Charles Stross","The Apocalypse Codex","9781101581131","isbn:9781101581131,mobi-asin:4901f687-4f0e-4bfb-bf1a-cf62d3d1a31f","Laundry Files","4.0","100b4cea-183c-465e-ba64-4076ab6c48cf"
"542","Charles Stross","The Fuller Memorandum","","mobi-asin:B003RWSJME","Laundry Files","3.0","e3102057-fd27-4e75-a96b-87d56760025a"
"543","Davis & Bert & Holly","Dwelling Portably 2009–2015","","","","1.0","247a2bb4-fffd-4ec2-8fdd-0467caba8935"
"544","Michael Fogus Chris Houser","The Joy of Clojure, Second Edition","","","","1.0","84d5513b-3a65-4767-b1a3-d6f99a0975cf"
"546","Mark Twight","Kiss or Kill: Confessions of a Serial Climber","","mobi-asin:B00D3OC8LO","","1.0","7422612e-9807-4725-bd10-a468a54dd114"
"548","Mark F. Twight & James Martin","Extreme Alpinism","","mobi-asin:B00D3OCACQ","","1.0","2ca2bebe-429f-4e1b-b149-057afc1df7a5"
"550","Sarah Outen","Dare to Do","","","","1.0","c0de5e21-8f98-4505-9e1e-e3a057bfcb54"
"551","Charles Stross","The Rhesus Chart","","","Laundry Files","5.0","9f250aae-51f2-4050-b081-c29a1677becc"
"552","Terry Pratchett","The Colour of Magic","9780552152921","isbn:9780552152921","Discworld","1.0","fc425b72-a3b2-47eb-b427-ce5aeb26159c"
"553","Terry Pratchett","The Shepherd’s Crown","9781448197149","isbn:9781448197149","Discworld","41.0","d0bd88f7-1a07-4af5-b492-4304272c79f8"
"556","Terry Pratchett","I Shall Wear Midnight","9780061433047","isbn:9780061433047","Discworld","38.0","45509f7b-19b3-4a40-8f65-077ad8c2f06f"
"557","Terry Pratchett","The Light Fantastic","","","Discworld","2.0","b601ba71-46c1-469a-aea6-725aeb0e322f"
"558","Terry Pratchett","Unseen Academicals","9780061161704","isbn:9780061161704","Discworld","37.0","cc788c3b-a96f-498a-8e65-f85c1a5db2ee"
"560","Terry Pratchett","Wintersmith","9780552562898","isbn:9780552562898","Discworld","32.0","56882ebd-e257-40aa-a909-5e5b252307f1"
"562","Terry Pratchett","A Hat Full of Sky","9780753187661","isbn:9780753187661","Discworld","32.0","93cac79a-4568-47a1-995f-b9ca658ae1e9"
"564","Terry Pratchett","Equal Rites","9780061020698","isbn:9780061020698","Discworld","3.0","ec1b3637-5569-4301-86a9-dad63babcb82"
"565","Terry Pratchett","The Wee Free Men","9780060012380","isbn:9780060012380","Discworld","30.0","ed037ed0-7535-4385-ace2-ab5056b542d0"
"569","Terry Pratchett","The Last Hero","9780061040962","isbn:9780061040962","Discworld","27.0","b4a17511-e0e9-4fad-9814-6130f0ee4c8a"
